2020-12-03 18:39:03,973      INFO          app started 
2020-12-03 18:39:03,973      WARNING       attention! 
2020-12-03 18:39:03,973      CRITICAL      critical error, shutdown the app 
2020-12-03 20:48:45,040      INFO          29  app started
2020-12-03 20:48:45,042      WARNING       30  attention!
2020-12-03 20:48:45,042      CRITICAL      31  critical error, shutdown the app
2020-12-03 20:49:27,306      INFO          29     app started
2020-12-03 20:49:27,308      WARNING       30     attention!
2020-12-03 20:49:27,308      CRITICAL      31     critical error, shutdown the app
2020-12-03 21:09:56,295      INFO          31     app started
2020-12-03 21:09:56,296      WARNING       32     attention!
2020-12-03 21:09:56,297      CRITICAL      33     critical error, shutdown the app
2020-12-03 21:10:19,799      DEBUG         36     Checking presence from client: {'action': 'presence', 'time': 1607019019.798935, 'user': {'account_name': 'Guest'}}
2020-12-03 21:23:35,661      DEBUG         15     server starts with :9035
2020-12-03 21:23:35,663      DEBUG         18     server successfully got socket
2020-12-03 21:23:44,369      DEBUG         38     Checking presence from client: {'action': 'presence', 'time': 1607019824.3685591, 'user': {'account_name': 'Guest'}}
2020-12-03 21:24:47,267      DEBUG         15     server starts with 127.0.0.1:9035
2020-12-03 21:24:47,270      DEBUG         18     server successfully got socket
2020-12-03 21:24:52,569      DEBUG         38     Checking presence from client: {'action': 'presence', 'time': 1607019892.568625, 'user': {'account_name': 'Guest'}}
2020-12-03 21:44:54,346      WARNING       16     server starts with 127.0.0.1:9035
2020-12-03 21:44:54,349      DEBUG         19     server successfully got socket
2020-12-03 21:44:54,349      DEBUG         24     server started to listen socket
2020-12-03 21:45:04,057      DEBUG         29     server got message from <socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 9035), raddr=('127.0.0.1', 64485)>
2020-12-03 21:45:04,059      INFO          32     server got 1 messages since has been started
